RA,DEC,Halpha,err_Halpha,Distance,xi,err_xi,sm,err_sm,m,err_m,t0,err_t0,rms1yr,err_rms1yr,theta_r,err_theta_r,nu0,fzero
283.9102658,-8.295157115,5.78125,1.78125,3.051148715,47.88320189,8.851922306,0.001174919,0.000362002,0.275384149,0.016969619,0.284250744,0.052547979,0.275384149,0.016969619,5.46E-08,5.78E-07,12.46100485,1.14E-09
284.5313737,-8.706428644,12.3125,2.4375,2.640193283,70.10743562,8.327483049,0.00250226,0.000495371,0.242518742,0.009602266,0.387140566,0.045985229,0.242518742,0.009602266,8.59E-08,5.85E-07,15.59385752,1.23E-09
284.4833322,-8.147916928,6.681640625,1.8671875,2.790431777,49.94638275,8.374523968,0.001357905,0.000379467,0.271538857,0.015176332,0.283547932,0.047542561,0.271538857,0.015176332,5.95E-08,5.72E-07,12.77409181,1.19E-09
284.6963234,-7.772040103,7.453125,1.9453125,2.779977814,53.23070501,8.336129795,0.001514693,0.000395344,0.265835266,0.013876936,0.301626588,0.047235865,0.265835266,0.013876936,6.36E-08,5.70E-07,13.26170941,1.19E-09
284.4124883,-7.658228875,7.234375,1.921875,2.952598116,53.88665738,8.589277101,0.001470237,0.000390581,0.264752205,0.014066748,0.314680732,0.050158613,0.264752205,0.014066748,6.25E-08,5.70E-07,13.35759792,1.16E-09
284.7890531,-8.39102865,8.62109375,2.0625,2.599107179,56.16787109,8.062520066,0.001752058,0.00041916,0.261118322,0.012493926,0.307742017,0.044174296,0.261118322,0.012493926,6.94E-08,5.71E-07,13.68738709,1.24E-09
285.1939781,-8.346319213,10.3671875,2.234375,2.449608992,60.90926901,7.876436062,0.002106915,0.00045409,0.254159026,0.010955461,0.32398023,0.041895258,0.254159026,0.010955461,7.75E-08,5.74E-07,14.35567864,1.27E-09
284.5744797,-8.078002294,4.86328125,1.6875,2.764063642,41.08375319,8.553340814,0.000988361,0.000342949,0.289807728,0.020111959,0.232129785,0.048327745,0.289807728,0.020111959,4.92E-08,5.87E-07,11.38748154,1.20E-09
284.858355,-7.608800978,8.80859375,2.078125,2.742866402,58.45002647,8.273724317,0.001790164,0.000422336,0.25767469,0.012158132,0.328983243,0.046568271,0.25767469,0.012158132,7.03E-08,5.70E-07,14.0118386,1.20E-09
284.6225653,-8.378950244,8.5546875,2.0625,2.67278082,56.69472018,8.201318602,0.001738563,0.00041916,0.260306969,0.012551788,0.315000343,0.045567174,0.260306969,0.012551788,6.91E-08,5.72E-07,13.7627635,1.22E-09
285.0896816,-8.98780255,7.43359375,1.9453125,2.370928755,49.08141025,7.706529858,0.001510723,0.000395344,0.273124707,0.014294915,0.256840214,0.04032783,0.273124707,0.014294915,6.35E-08,5.71E-07,12.64349178,1.29E-09
284.4442793,-8.610692405,11.46875,2.34375,2.699601058,67.93567359,8.329987425,0.002330785,0.000476318,0.245075956,0.010016729,0.379345048,0.046513699,0.245075956,0.010016729,8.23E-08,5.78E-07,15.30786533,1.21E-09
285.3577217,-8.161400327,11.84375,2.390625,2.424055559,65.63013523,7.948346348,0.002406996,0.000485845,0.247912771,0.010008088,0.347265246,0.042056663,0.247912771,0.010008088,8.39E-08,5.82E-07,15.00010425,1.28E-09
284.7833976,-8.852919251,8.3828125,2.03125,2.507565959,54.24984709,7.887210061,0.001703633,0.000412809,0.264160064,0.012801793,0.29195199,0.042445957,0.264160064,0.012801793,6.82E-08,5.68E-07,13.41048277,1.26E-09
284.8200543,-8.057092431,8.65625,2.0625,2.657931371,56.938789,8.139986078,0.001759203,0.00041916,0.2599345,0.012386771,0.315476378,0.045100596,0.2599345,0.012386771,6.96E-08,5.70E-07,13.79758391,1.22E-09
284.9996078,-8.120274333,10.95703125,2.296875,2.569095235,64.4828636,8.110357758,0.002226789,0.000466792,0.249374415,0.010455055,0.3512539,0.044179099,0.249374415,0.010455055,8.01E-08,5.77E-07,14.84530089,1.24E-09
285.0193431,-8.570385577,9.56640625,2.15625,2.472315555,58.30955296,7.885718978,0.001944173,0.000438213,0.257881446,0.0116252,0.311586333,0.042138589,0.257881446,0.0116252,7.39E-08,5.72E-07,13.99201916,1.27E-09
284.8768162,-8.090653821,9.1953125,2.125,2.626258808,58.68770715,8.137497479,0.001868756,0.000431862,0.257326365,0.01189342,0.323223286,0.04481737,0.257326365,0.01189342,7.21E-08,5.73E-07,14.04532647,1.23E-09
284.8116285,-8.672504597,10.54296875,2.25,2.532240299,62.55595776,8.010130028,0.00214264,0.000457266,0.251909052,0.010752103,0.338304577,0.043319034,0.251909052,0.010752103,7.83E-08,5.74E-07,14.58272319,1.25E-09
284.6764431,-8.695393341,11.10546875,2.3125,2.581832665,65.16653746,8.141806717,0.002256956,0.000469968,0.24849927,0.010349039,0.355856931,0.044460216,0.24849927,0.010349039,8.08E-08,5.78E-07,14.93768441,1.24E-09
284.4476281,-7.59843088,6.658203125,1.8671875,2.950072312,51.24707465,8.622857631,0.001353142,0.000379467,0.269221852,0.0150998,0.299138387,0.05033317,0.269221852,0.0150998,5.94E-08,5.73E-07,12.9687359,1.16E-09
284.8714155,-8.073380055,9.1953125,2.125,2.632281073,58.7549569,8.146822169,0.001868756,0.000431862,0.257228151,0.011888881,0.323964468,0.04492014,0.257228151,0.011888881,7.21E-08,5.73E-07,14.05479154,1.23E-09
284.8000157,-7.904442088,6.701171875,1.8671875,2.701004554,49.22566462,8.229625183,0.001361874,0.000379467,0.272857652,0.015205593,0.274941935,0.045965232,0.272857652,0.015205593,5.96E-08,5.71E-07,12.66533836,1.21E-09
