subject_id,workflow_id,task,reducer,data.stable,data.unsure,data.extended-blob,data.aggregation_version,data.transient-variable,data.artefact
70785592,19109,T0,question_reducer,6.0,1.0,1.0,3.6.0,,1.0
70785593,19109,T0,question_reducer,9.0,,,3.6.0,,1.0
70785594,19109,T0,question_reducer,5.0,,3.0,3.6.0,1.0,1.0
70785595,19109,T0,question_reducer,6.0,,2.0,3.6.0,2.0,
70785596,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,1.0,
70785597,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,
70785598,19109,T0,question_reducer,8.0,,2.0,3.6.0,,
70785599,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,1.0,
70785600,19109,T0,question_reducer,2.0,2.0,1.0,3.6.0,1.0,3.0
70785601,19109,T0,question_reducer,2.0,1.0,5.0,3.6.0,2.0,
70785602,19109,T0,question_reducer,6.0,2.0,1.0,3.6.0,,
70785603,19109,T0,question_reducer,1.0,,6.0,3.6.0,,2.0
70785604,19109,T0,question_reducer,9.0,1.0,,3.6.0,,
70785605,19109,T0,question_reducer,5.0,,2.0,3.6.0,3.0,
70785606,19109,T0,question_reducer,1.0,,2.0,3.6.0,1.0,6.0
70785607,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,1.0,
70785608,19109,T0,question_reducer,6.0,1.0,2.0,3.6.0,,1.0
70785609,19109,T0,question_reducer,7.0,1.0,,3.6.0,,2.0
70785610,19109,T0,question_reducer,,1.0,1.0,3.6.0,1.0,7.0
70785611,19109,T0,question_reducer,4.0,1.0,4.0,3.6.0,,
70785612,19109,T0,question_reducer,2.0,,8.0,3.6.0,,
70785613,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,1.0,
70785614,19109,T0,question_reducer,5.0,1.0,4.0,3.6.0,,
70785615,19109,T0,question_reducer,6.0,,1.0,3.6.0,1.0,1.0
70785616,19109,T0,question_reducer,8.0,,1.0,3.6.0,,1.0
70785617,19109,T0,question_reducer,5.0,1.0,2.0,3.6.0,1.0,1.0
70785618,19109,T0,question_reducer,2.0,,6.0,3.6.0,1.0,
70785619,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,1.0,
70785620,19109,T0,question_reducer,4.0,,3.0,3.6.0,2.0,
70785621,19109,T0,question_reducer,5.0,2.0,2.0,3.6.0,,
70785622,19109,T0,question_reducer,8.0,1.0,1.0,3.6.0,,
70785623,19109,T0,question_reducer,9.0,,1.0,3.6.0,,
70785624,19109,T0,question_reducer,,1.0,7.0,3.6.0,2.0,
70785625,19109,T0,question_reducer,5.0,1.0,,3.6.0,2.0,1.0
70785626,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,,1.0
70785627,19109,T0,question_reducer,3.0,1.0,2.0,3.6.0,1.0,1.0
70785628,19109,T0,question_reducer,5.0,2.0,1.0,3.6.0,1.0,
70785629,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,,1.0
70785630,19109,T0,question_reducer,8.0,1.0,,3.6.0,1.0,
70785631,19109,T0,question_reducer,6.0,,4.0,3.6.0,,
70785632,19109,T0,question_reducer,5.0,,1.0,3.6.0,3.0,
70785633,19109,T0,question_reducer,4.0,2.0,4.0,3.6.0,,
70785634,19109,T0,question_reducer,7.0,1.0,1.0,3.6.0,,
70785635,19109,T0,question_reducer,3.0,1.0,3.0,3.6.0,3.0,
70785636,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,1.0,
70785637,19109,T0,question_reducer,5.0,1.0,1.0,3.6.0,2.0,1.0
70785638,19109,T0,question_reducer,5.0,1.0,1.0,3.6.0,2.0,1.0
70785639,19109,T0,question_reducer,4.0,1.0,4.0,3.6.0,1.0,
70785640,19109,T0,question_reducer,6.0,1.0,3.0,3.6.0,,
70785641,19109,T0,question_reducer,1.0,,1.0,3.6.0,7.0,1.0
70785642,19109,T0,question_reducer,1.0,2.0,5.0,3.6.0,2.0,
70785643,19109,T0,question_reducer,5.0,2.0,,3.6.0,1.0,1.0
70785644,19109,T0,question_reducer,8.0,1.0,1.0,3.6.0,,
70785645,19109,T0,question_reducer,4.0,2.0,3.0,3.6.0,1.0,
70785646,19109,T0,question_reducer,4.0,,5.0,3.6.0,1.0,
70785647,19109,T0,question_reducer,5.0,1.0,3.0,3.6.0,1.0,
