user_name,n_class,user_id
not-logged-in-e14827fd6108f58c57f0,2,
not-logged-in-de9f7d0c587b831aa4b0,2,
Eyja,2,2436946.0
not-logged-in-e0473389dd4b2253b1b4,2,
Emalupix,2,2399107.0
MirLihanAhmad,2,2110956.0
EDunn638,2,2424583.0
not-logged-in-af8c2cea452c7f7da845,2,
shinobi456b,2,2379988.0
not-logged-in-affbf4383495d04d0eb6,2,
not-logged-in-e2c49f2f4c1da80e2243,2,
godzilltrain,2,1995679.0
not-logged-in-0108e8d8cbd3f7f3e079,2,
not-logged-in-0931e605084356ab8d86,2,
Sdeel,2,2404005.0
not-logged-in-0f187b752d947828148a,2,
not-logged-in-0c52e4eb3b5fb55a485f,2,
not-logged-in-481bf23b6e7be999b059,2,
not-logged-in-4a2951f21499ebde06d3,2,
not-logged-in-0ba6834b5d6554be493a,2,
Sanmon999,2,2226964.0
not-logged-in-4aade440f90fb145e5a4,2,
not-logged-in-06e15e90180ceb090642,2,
connordavisutk,2,2434103.0
not-logged-in-52e143d9f11a66aeacb0,2,
not-logged-in-31fa17945943e7a8833e,2,
mespinasse,2,2404379.0
not-logged-in-5a189c748bbad77396d2,2,
RandallBraun,2,2411628.0
blameriss,2,2436603.0
bosubabu,2,33356.0
cameronnardini,2,2412073.0
not-logged-in-45e4ba0afeaaeb5b5275,2,
not-logged-in-13c9508b221282f39e00,2,
not-logged-in-44184246f8847dd2bb32,2,
not-logged-in-440e4a0a06954e17663b,2,
not-logged-in-31cebd931723264bee22,2,
not-logged-in-3147985529aa46dc122c,2,
not-logged-in-2dc249a8b46e8397c444,2,
not-logged-in-272e50380aa28612c00d,2,
not-logged-in-7ebe608afb1dd49e5d7a,2,
not-logged-in-395d4114865937da42bf,2,
not-logged-in-398f936c8e58cd1fc24a,2,
not-logged-in-241dec0f8003159f1c49,2,
not-logged-in-2152a0c959b7c6ccafc9,2,
not-logged-in-20cfa02dd6d498c71773,2,
UnbiasedBrigade,2,1825710.0
not-logged-in-1be65f0d68f62b7f3ee3,2,
